股票名称,代码,类型,评分,买入日期,卖出日期,买入价,收益%,退出方式,持有天数
美克家居,600337,非科技,98.5,2025-12-03,2026-01-09,2.90,32.5%,动态止盈,37
浪潮软件,600756,科技,87.6,2025-11-12,2025-11-20,17.98,31.2%,动态止盈,8
海鸥股份,603269,非科技,104.5,2026-03-03,2026-03-12,13.89,24.7%,动态止盈,9
晶科能源,688223,科技,97.9,2026-01-28,2026-02-06,6.45,22.3%,动态止盈,9
赫美集团,002356,非科技,86.2,2025-11-18,2025-12-01,3.75,21.9%,排名置换,13
电投水电,600292,非科技,101.9,2025-11-04,2025-11-10,13.77,21.2%,动态止盈,6
博杰股份,002975,科技,95.7,2026-04-13,2026-04-29,93.15,19.3%,动态止盈,16
上纬新材,688585,非科技,100.6,2026-01-05,2026-01-13,129.19,18.2%,动态止盈,8
舒华体育,605299,非科技,82.3,2026-03-23,2026-03-26,14.72,18.1%,动态止盈,3
金利华电,300069,科技,87.5,2026-03-27,2026-04-07,20.49,17.6%,排名置换,11
新能泰山,000720,科技,85.0,2026-03-30,2026-04-03,5.11,16.2%,排名置换,4
新天绿能,600956,非科技,91.0,2026-03-09,2026-03-13,8.06,14.7%,动态止盈,4
威腾电气,688226,非科技,95.5,2026-04-07,2026-04-22,50.85,14.3%,动态止盈,15
环旭电子,601231,科技,94.1,2025-12-10,2026-01-05,26.31,14.0%,排名置换,26
强瑞技术,301128,科技,81.3,2026-03-20,2026-04-02,132.19,13.8%,排名置换,13
重药控股,000950,非科技,81.5,2025-12-12,2025-12-15,6.02,12.3%,排名置换,3
欣龙控股,000955,非科技,80.7,2025-11-17,2025-11-18,7.53,11.8%,排名置换,1
大东南,002263,非科技,69.6,2026-03-30,2026-03-31,4.05,11.4%,排名置换,1
航天科技,000901,非科技,91.6,2025-10-29,2025-11-04,19.38,9.7%,排名置换,6
远大控股,000626,非科技,95.2,2026-04-15,2026-04-30,8.53,9.7%,截止日平仓,15
浙江世宝,002703,非科技,83.7,2026-01-09,2026-01-13,25.41,9.2%,排名置换,4
西测测试,301306,非科技,89.6,2026-03-25,2026-03-30,140.50,8.9%,动态止盈,5
正泰电源,002150,科技,72.6,2026-03-19,2026-03-20,32.31,8.0%,排名置换,1
嘉美包装,002969,非科技,80.5,2025-12-08,2025-12-09,4.23,7.8%,排名置换,1
黄河旋风,600172,非科技,95.8,2026-02-06,2026-02-09,7.59,7.8%,排名置换,3
斯迪克,300806,非科技,97.7,2026-04-23,2026-04-30,68.92,7.7%,截止日平仓,7
双欣材料,001369,非科技,84.9,2026-03-12,2026-03-13,17.06,7.2%,排名置换,1
永鼎股份,600105,科技,88.1,2025-12-09,2025-12-10,17.89,6.9%,排名置换,1
重药控股,000950,非科技,79.4,2025-12-17,2025-12-18,6.40,6.7%,排名置换,1
博杰股份,002975,科技,100.4,2025-11-04,2025-11-17,67.58,6.1%,动态止盈,13
众生药业,002317,非科技,95.8,2025-11-04,2025-11-12,19.87,5.9%,动态止盈,8
深南电路,002916,科技,89.8,2025-12-18,2025-12-30,221.04,5.8%,排名置换,12
中红医疗,300981,非科技,81.3,2026-03-16,2026-03-19,15.58,5.5%,动态止盈,3
优刻得,688158,非科技,104.3,2025-12-30,2026-01-13,28.57,5.5%,动态止盈,14
华资实业,600191,非科技,90.1,2025-11-24,2025-12-03,11.10,5.2%,动态止盈,9
嘉化能源,600273,非科技,93.5,2026-01-13,2026-01-16,9.26,5.1%,排名置换,3
深南电A,000037,非科技,77.7,2026-03-20,2026-03-25,10.38,5.0%,排名置换,5
联环药业,600513,非科技,75.5,2026-03-31,2026-04-01,28.91,4.8%,排名置换,1
君正集团,601216,非科技,107.0,2026-01-16,2026-02-02,5.30,4.8%,动态止盈,17
西藏矿业,000762,非科技,89.9,2026-04-03,2026-04-13,32.27,4.3%,排名置换,10
潞安环能,601699,非科技,101.8,2026-02-09,2026-03-06,13.41,4.1%,动态止盈,25
狮头股份,600539,非科技,79.4,2026-03-26,2026-03-27,13.69,3.8%,排名置换,1
易点天下,301171,科技,85.0,2026-01-13,2026-01-13,51.97,3.6%,排名置换,1
